iq2,q2_low,q2_high,ixb,xb_low,xb_high,it,t_low,t_high,reliable_phi_bins,overlap_phi_bins,born_sum,radiative_sum,mean_c_rad,median_c_rad,min_c_rad,max_c_rad,mean_delta_c
0,1.0,1.5,1,0.1,0.15,6,1.0,1.5,20,20,94896.0,154927.0,1.052637331459681,1.064752599338187,0.968011797167819,1.1064851322526879,0.01944468465914183
0,1.0,1.5,1,0.1,0.15,7,1.5,2.0,20,20,39880.0,67488.0,1.0176789197917029,1.0150666290353985,0.88400924218856,1.1011761427961704,0.028796312738141382
0,1.0,1.5,2,0.15,0.2,0,0.09,0.15,20,20,319811.0,489670.0,1.0895642395683869,1.149020840031949,0.7433171003526936,1.2234055187584614,0.01128703180248347
0,1.0,1.5,2,0.15,0.2,1,0.15,0.2,20,20,280107.0,436978.0,1.0648135098985763,1.119945542065241,0.7175878562031337,1.212389998267102,0.011788503660352844
0,1.0,1.5,2,0.15,0.2,2,0.2,0.3,20,20,519932.0,816472.0,1.0569011523119514,1.0990633250719686,0.7195754993635071,1.1982583282401973,0.008597140759860976
0,1.0,1.5,2,0.15,0.2,3,0.3,0.4,20,20,424966.0,671829.0,1.0521031533788405,1.0865901086179433,0.7442191150423219,1.2054207269164656,0.009445798619154991
0,1.0,1.5,2,0.15,0.2,4,0.4,0.6,20,20,571038.0,913752.0,1.0482845245274712,1.081420000655652,0.8154501269707719,1.2011335241582917,0.00807114796748236
0,1.0,1.5,2,0.15,0.2,5,0.6,1.0,20,20,510152.0,834356.0,1.0480536735495107,1.0838099529893155,0.7897572603993037,1.1721947351322202,0.008447340845754072
0,1.0,1.5,2,0.15,0.2,6,1.0,1.5,20,20,233527.0,374199.0,1.0827400330176182,1.1147587985524823,0.7960953306738576,1.1784474036713024,0.012866469604768596
0,1.0,1.5,2,0.15,0.2,7,1.5,2.0,20,20,95929.0,155512.0,1.0795240137768687,1.1389226820971745,0.7218160559849944,1.1956264313520015,0.019960765038497794
0,1.0,1.5,3,0.2,0.25,0,0.09,0.15,20,20,373258.0,546577.0,1.1252377954052482,1.2409306655194734,0.6047897760098951,1.3040816511888622,0.010907338515807111
0,1.0,1.5,3,0.2,0.25,1,0.15,0.2,20,20,361541.0,539989.0,1.0909209740107373,1.2202748422134193,0.5490682559145352,1.2626281279362424,0.01080687547702899
0,1.0,1.5,3,0.2,0.25,2,0.2,0.3,20,20,737368.0,1110155.0,1.0784489449388501,1.1712518094879467,0.5431857127755269,1.2516058171400346,0.007504049763280615
0,1.0,1.5,3,0.2,0.25,3,0.3,0.4,20,20,652868.0,995780.0,1.0670062458337983,1.1332962723061435,0.5833265968402568,1.2425109754611703,0.007890903541332095
0,1.0,1.5,3,0.2,0.25,4,0.4,0.6,20,20,953548.0,1477751.0,1.0581982303343758,1.1142670220350377,0.6713101875693765,1.2348882150851395,0.006429917078816412
0,1.0,1.5,3,0.2,0.25,5,0.6,1.0,20,20,903221.0,1464777.0,1.0439754478309893,1.092596205027307,0.6764422194931118,1.214040249753344,0.006413692768395929
0,1.0,1.5,3,0.2,0.25,6,1.0,1.5,20,20,381328.0,639022.0,1.0560123795510488,1.1275817645188722,0.5998814256554311,1.1995954567207043,0.009838469471464363
0,1.0,1.5,3,0.2,0.25,7,1.5,2.0,20,20,143358.0,238514.0,1.0776740200611914,1.1617745336586096,0.5854114586024168,1.2161346551024352,0.016344643319707558
0,1.0,1.5,4,0.25,0.3,0,0.09,0.15,20,20,339260.0,379008.0,1.476350542845093,1.6323864985339371,0.7748863181206569,1.7640960816265898,0.015778356342472162
0,1.0,1.5,4,0.25,0.3,1,0.15,0.2,20,20,392247.0,448784.0,1.4046521668193412,1.621913200887383,0.4935317226759355,1.704018610059284,0.014035114164620822
0,1.0,1.5,4,0.25,0.3,2,0.2,0.3,20,20,888280.0,1015135.0,1.3969653101812838,1.5858860439636604,0.46387146783191824,1.6740206563165856,0.009372353342981057
0,1.0,1.5,4,0.25,0.3,3,0.3,0.4,20,20,867481.0,991319.0,1.3968301716250395,1.5436468388095526,0.5299199105982211,1.6711662511462853,0.009533650023902721
0,1.0,1.5,4,0.25,0.3,4,0.4,0.6,20,20,1396024.0,1609677.0,1.3945284529257191,1.499404439760797,0.6711923486609408,1.6506680885689042,0.007500021913109112
0,1.0,1.5,4,0.25,0.3,5,0.6,1.0,20,20,1467588.0,1781472.0,1.3588070305466962,1.4487453720446033,0.8667828604534611,1.6437614008138304,0.00699838729063468
0,1.0,1.5,4,0.25,0.3,6,1.0,1.5,20,20,623812.0,825751.0,1.3264976015375745,1.4256280166957418,0.6539533900989416,1.6164990405509803,0.010222459732716094
0,1.0,1.5,4,0.25,0.3,7,1.5,2.0,20,20,210366.0,294579.0,1.308964740916204,1.4594414605499177,0.6203310750581648,1.5704669848362849,0.01713504171547768
0,1.0,1.5,5,0.3,0.38,0,0.09,0.15,20,20,150014.0,61639.0,4.066853465874866,4.446979360802795,2.3924724545477356,5.022131900726321,0.08693433511816363
0,1.0,1.5,5,0.3,0.38,1,0.15,0.2,20,20,498212.0,179256.0,4.494553010977802,5.251220466223269,1.5801281435201067,5.697496882665946,0.05523444296342145
0,1.0,1.5,5,0.3,0.38,2,0.2,0.3,20,20,1536944.0,486484.0,4.941062226456092,5.655782105669063,0.911147491908316,6.474369172625226,0.036253980639163644
0,1.0,1.5,5,0.3,0.38,3,0.3,0.4,20,20,1813863.0,532371.0,5.272038352782772,5.883928730174755,1.069706362442732,6.996060180758649,0.03690073253900446
0,1.0,1.5,5,0.3,0.38,4,0.4,0.6,20,20,3239012.0,969558.0,5.208971034100978,5.610737363433904,1.6762379072575806,6.720440578960916,0.027353040687636238
0,1.0,1.5,5,0.3,0.38,5,0.6,1.0,20,20,3648929.0,1257339.0,4.6680267197520475,5.04247570741121,2.7597365600576294,5.816397900254372,0.02207707799218816
0,1.0,1.5,5,0.3,0.38,6,1.0,1.5,20,20,1596311.0,695332.0,3.961254290364491,4.279441311310588,1.7065166284788713,4.963966610313886,0.02638737121270045
